Model,Carrier,Quantity,purl,bid
Apple iPhone XS Max - 256GB,Unlocked,1,https://www.liquidation.com/auction/view?id=14474320,3075
Apple iPhone X - 256GB,Unlocked,1,,
Apple iPhone 8 - 64GB,Unlocked,1,,
Apple iPhone 7 - 128GB,Unlocked,4,,
Apple iPhone 7 - 32GB,Unlocked,3,,
Apple iPhone 6 - 64GB,Unlocked,1,,
Apple iPhone 8 - 64GB,Unknown,1,,
Apple iPhone 7 Plus - 32GB,Sprint,1,,
Apple iPhone 7 Plus - 32GB,Xfinity,1,,
Apple iPhone 7 Plus - 32GB,Unknown,1,,
Apple iPhone 7 - 32GB,AT&T,1,,
Apple iPhone 7 - 32GB,Sprint,1,,
